question_id,discipline,question_type,difficulty_level,question_text,option_A,option_B,option_C,option_D,correct_answer,GPT Response,Gemini Response,Grok Response
CS_MCQ_01,Computer Science,MCQ,Easy,Which data structure is best suited for implementing a priority queue?,Stack,Queue,Heap,Linked List,C,C,C,C
CS_MCQ_02,Computer Science,MCQ,Easy,What is the worst-case time complexity of binary search?,O(1),O(log n),O(n),O(n log n),B,B,B,B
CS_MCQ_03,Computer Science,MCQ,Easy,Which protocol is used to secure HTTP communication?,FTP,SMTP,HTTPS,SNMP,C,C,C,C
CS_MCQ_04,Computer Science,MCQ,Easy,What does CPU stand for?,Central Processing Unit,Computer Processing Unit,Central Program Unit,Control Processing Unit,A,A,A,A
CS_MCQ_05,Computer Science,MCQ,Easy,Which component stores the BIOS?,RAM,CPU,ROM,Cache,C,C,C,C
CS_MCQ_06,Computer Science,MCQ,Medium,Which scheduling algorithm may lead to starvation?,Round Robin,First Come First Serve,Shortest Job First,FIFO,C,C,C,C
CS_MCQ_07,Computer Science,MCQ,Medium,Which of the following best describes polymorphism?,Data hiding,Multiple inheritance,Ability of an object to take many forms,Code compilation,C,C,C,C
CS_MCQ_08,Computer Science,MCQ,Medium,Why is normalization used in databases?,Increase redundancy,Reduce redundancy,Improve security,Increase performance,B,B,B,B
CS_MCQ_09,Computer Science,MCQ,Medium,What is the main purpose of an operating system?,Compile programs,Manage hardware resources,Store data permanently,Execute arithmetic operations,B,B,B,B
CS_MCQ_10,Computer Science,MCQ,Medium,Which data structure uses the LIFO principle?,Queue,Stack,Tree,Graph,B,B,B,B
CS_MCQ_11,Computer Science,MCQ,Hard,Which scenario results in the worst-case time complexity of quicksort?,Random pivot selection,Balanced partition,Already sorted array with first element as pivot,Duplicate elements,C,C,C,C
CS_MCQ_12,Computer Science,MCQ,Hard,Which condition is NOT required for deadlock to occur?,Mutual exclusion,Hold and wait,Preemption,Circular wait,C,C,C,C
CS_MCQ_13,Computer Science,MCQ,Hard,What causes thrashing in an operating system?,High CPU utilization,Excessive paging,Large cache size,Low memory usage,B,B,B,B
CS_MCQ_14,Computer Science,MCQ,Hard,Which layer of the OSI model handles encryption?,Transport,Network,Session,Presentation,D,D,D,D
CS_MCQ_15,Computer Science,MCQ,Hard,What is the primary disadvantage of linked lists compared to arrays?,Dynamic size,Sequential access,Fixed size,Efficient insertion,B,B,B,B
CS_MCQ_16,Computer Science,MCQ,Hard,Which algorithm is used to find the shortest path in a weighted graph with no negative weights?,DFS,BFS,Dijkstra’s algorithm,Bellman-Ford,C,C,C,C
CS_MCQ_17,Computer Science,MCQ,Hard,Which cache mapping technique offers the least conflict misses?,Direct mapping,Set-associative mapping,Fully associative mapping,Block mapping,C,C,C,C
CS_MCQ_18,Computer Science,MCQ,Hard,Which concept allows multiple threads to execute simultaneously?,Multitasking,Multiprocessing,Multithreading,Virtual memory,C,C,C,C
CS_MCQ_19,Computer Science,MCQ,Hard,Which SQL command removes a table completely?,DELETE,REMOVE,TRUNCATE,DROP,D,D,D,D
CS_MCQ_20,Computer Science,MCQ,Hard,Which problem is NP-complete?,Binary search,Sorting,Travelling Salesman Problem,Matrix multiplication,C,C,C,C
CS_MCQ_21,Computer Science,MCQ,Medium,Which data structure is used in BFS traversal?,Stack,Queue,Heap,Set,B,B,B,B
CS_MCQ_22,Computer Science,MCQ,Medium,Which protocol is used to send emails?,HTTP,FTP,SMTP,DNS,C,C,C,C
CS_MCQ_23,Computer Science,MCQ,Medium,What is the main goal of encryption?,Data compression,Data confidentiality,Data duplication,Data indexing,B,B,B,B
CS_MCQ_24,Computer Science,MCQ,Hard,Which memory allocation strategy suffers most from external fragmentation?,Paging,Segmentation,Fixed partitioning,Virtual memory,B,B,B,B
CS_MCQ_25,Computer Science,MCQ,Hard,Which synchronization tool is used to avoid race conditions?,Cache,Semaphore,Compiler,Scheduler,B,B,B,B
Math_MATH_E_01,Mathematics,MCQ,Easy,What is the derivative of x^2?,2x,x,x^2,1,A,A,A,A
Math_MATH_E_02,Mathematics,MCQ,Easy,What is the integral of 1 with respect to x?,x + C,1,0,C,A,A,A,A
Math_MATH_E_03,Mathematics,MCQ,Easy,What is the value of sin(0)?,0,1,-1,Undefined,A,A,A,A
Math_MATH_E_04,Mathematics,MCQ,Easy,What is the determinant of a 2x2 identity matrix?,0,1,2,-1,B,B,B,B
Math_MATH_E_05,Mathematics,MCQ,Easy,What is the solution of x = 5?,5,0,-5,10,A,A,A,A
Math_MATH_E_06,Mathematics,MCQ,Easy,What is the square root of 16?,2,4,8,-4,B,B,B,B
Math_MATH_E_07,Mathematics,MCQ,Easy,What is the value of log₁₀(1)?,0,1,10,Undefined,A,A,A,A
Math_MATH_E_08,Mathematics,MCQ,Easy,What is the degree of the polynomial 3x³ + x?,1,2,3,4,C,C,C,C
Math_MATH_E_09,Mathematics,MCQ,Easy,What is cos(0)?,0,1,-1,Undefined,B,B,B,B
Math_MATH_E_10,Mathematics,MCQ,Easy,What is the value of 7 × 0?,0,7,1,Undefined,A,A,A,A
Math_MATH_E_11,Mathematics,MCQ,Easy,What is the derivative of a constant?,0,1,Constant,Undefined,A,A,A,A
Math_MATH_E_12,Mathematics,MCQ,Easy,What is the value of π approximately?,2.14,3.14,4.13,1.34,B,B,B,B
Math_MATH_E_13,Mathematics,MCQ,Easy,What is the sum of angles in a triangle?,90°,180°,270°,360°,B,B,B,B
Math_MATH_E_14,Mathematics,MCQ,Easy,What is the inverse of addition?,Multiplication,Subtraction,Division,Exponent,B,B,B,B
Math_MATH_E_15,Mathematics,MCQ,Easy,What is the value of e⁰?,0,1,e,Undefined,B,B,B,B
Math_MATH_M_01,Mathematics,MCQ,Medium,What is the derivative of sin(x)?,cos(x),-cos(x),sin(x),-sin(x),A,A,A,A
Math_MATH_M_02,Mathematics,MCQ,Medium,What is the integral of x?,x²/2 + C,x + C,1,2x,A,A,A,A
Math_MATH_M_03,Mathematics,MCQ,Medium,Which matrix has an inverse?,Singular,Zero,Identity,Rectangular,C,C,C,C
Math_MATH_M_04,Mathematics,MCQ,Medium,What is the rank of a 3x3 identity matrix?,1,2,3,0,C,C,C,C
Math_MATH_M_05,Mathematics,MCQ,Medium,What does eigenvalue represent?,Matrix size,Scalar factor,Determinant,Trace,B,A,B,A
Math_MATH_M_06,Mathematics,MCQ,Medium,What is lim(x→0) sin(x)/x?,0,1,∞,Undefined,B,B,B,B
Math_MATH_M_07,Mathematics,MCQ,Medium,Which series converges?,Harmonic,Geometric (|r|<1),Arithmetic,Divergent,B,B,B,B
Math_MATH_M_08,Mathematics,MCQ,Medium,What is the solution of x² − 4 = 0?,±2,0,4,-2,A,A,A,A
Math_MATH_M_09,Mathematics,MCQ,Medium,Which function is continuous everywhere?,1/x,tan(x),x²,log(x),C,C,C,C
Math_MATH_M_10,Mathematics,MCQ,Medium,What is the determinant of a singular matrix?,1,-1,0,Undefined,C,C,C,C
Math_MATH_M_11,Mathematics,MCQ,Medium,Which method solves linear equations?,Fourier,Gaussian elimination,Newton,Euler,B,B,B,B
Math_MATH_M_12,Mathematics,MCQ,Medium,What is the derivative of e^x?,e^x,x e^x,1,ln(x),A,A,A,A
Math_MATH_M_13,Mathematics,MCQ,Medium,What is the value of |−7|?,-7,7,0,1,B,B,B,B
Math_MATH_M_14,Mathematics,MCQ,Medium,What is the integral of cos(x)?,sin(x),-sin(x),cos(x),-cos(x),A,A,A,A
Math_MATH_M_15,Mathematics,MCQ,Medium,What is the domain of log(x)?,All real numbers,x>0,x<0,x≠0,B,B,B,B
Math_MATH_M_16,Mathematics,MCQ,Medium,Which transform is used in signal processing?,Laplace,Fourier,Z-transform,All of these,D,D,D,D
Math_MATH_M_17,Mathematics,MCQ,Medium,What is the probability of a sure event?,0,0.5,1,Undefined,C,C,C,C
Math_MATH_M_18,Mathematics,MCQ,Medium,"What is the value of C(5,0)?",0,1,5,10,B,B,B,B
Math_MATH_M_19,Mathematics,MCQ,Medium,Which equation represents a circle?,x²+y²=r²,y=mx+c,xy=c,x²−y²=c,A,A,A,A
Math_MATH_M_20,Mathematics,MCQ,Medium,What is the trace of identity matrix I₃?,1,2,3,0,C,C,C,C
Math_MATH_H_01,Mathematics,MCQ,Hard,Which condition ensures convergence of Newton’s method?,Initial guess close,Continuity,Boundedness,Linearity,A,A,A,A
Math_MATH_H_02,Mathematics,MCQ,Hard,What is the eigenvalue of identity matrix?,0,1,Depends,Undefined,B,B,B,B
Math_MATH_H_03,Mathematics,MCQ,Hard,Which PDE describes heat conduction?,Wave equation,Laplace equation,Heat equation,Poisson equation,C,C,C,C
Math_MATH_H_04,Mathematics,MCQ,Hard,What is the Jacobian used for?,Integration change,Differentiation,Limits,Series,A,A,A,B
Math_MATH_H_05,Mathematics,MCQ,Hard,Which space is complete?,Metric,Normed,Hilbert,Topological,C,C,C,C
Math_MATH_H_06,Mathematics,MCQ,Hard,What ensures uniform convergence?,Pointwise limit,Weierstrass M-test,Cauchy,Boundedness,B,B,B,B
Math_MATH_H_07,Mathematics,MCQ,Hard,What is the order of Runge–Kutta method?,1,2,4,Depends,C,C,C,C
Math_MATH_H_08,Mathematics,MCQ,Hard,What is the solution of y' = ky?,Ce^{kx},kx,k,x^k,A,A,A,A
Math_MATH_H_09,Mathematics,MCQ,Hard,Which transform solves differential equations?,Fourier,Laplace,Z,All,D,B,D,B
Math_MATH_H_10,Mathematics,MCQ,Hard,What is the determinant of an orthogonal matrix?,0,1,±1,Undefined,C,C,C,C
Math_MATH_H_11,Mathematics,MCQ,Hard,Which method finds roots of equations?,Euler,Newton-Raphson,Gauss,Fourier,B,B,B,B
Math_MATH_H_12,Mathematics,MCQ,Hard,Which condition defines analyticity?,Differentiable once,Cauchy–Riemann,Continuous,Bounded,B,B,B,B
Math_MATH_H_13,Mathematics,MCQ,Hard,Which integral evaluates area under curve?,Line,Surface,Definite,Improper,C,C,C,C
Math_MATH_H_14,Mathematics,MCQ,Hard,Which theorem relates curl and circulation?,Gauss,Green,Stokes,Taylor,C,C,C,C
Math_MATH_H_15,Mathematics,MCQ,Hard,Which space generalizes Euclidean space?,Vector,Metric,Hilbert,Affine,C,C,C,C
Psych_PSY_E_01,Psychology,MCQ,Easy,What is psychology the study of?,Behavior and mental processes,Only behavior,Only the brain,Emotions only,A,A,A,A
Psych_PSY_E_02,Psychology,MCQ,Easy,Who is known as the father of psychoanalysis?,Skinner,Watson,Freud,Pavlov,C,C,C,C
Psych_PSY_E_03,Psychology,MCQ,Easy,Which part of the brain controls balance?,Cerebrum,Cerebellum,Medulla,Hypothalamus,B,B,B,B
Psych_PSY_E_04,Psychology,MCQ,Easy,What is the basic unit of the nervous system?,Neuron,Axon,Dendrite,Synapse,A,A,A,A
Psych_PSY_E_05,Psychology,MCQ,Easy,Which hormone is associated with stress?,Insulin,Adrenaline,Melatonin,Estrogen,B,B,B,B
Psych_PSY_E_06,Psychology,MCQ,Easy,What type of memory lasts a few seconds?,Long-term,Sensory,Procedural,Semantic,B,B,B,B
Psych_PSY_E_07,Psychology,MCQ,Easy,Which psychologist is associated with classical conditioning?,Skinner,Pavlov,Bandura,Maslow,B,B,B,B
Psych_PSY_E_08,Psychology,MCQ,Easy,What does IQ stand for?,Intelligence Quotient,Intelligence Question,Internal Quality,Intellectual Quantity,A,A,A,A
Psych_PSY_E_09,Psychology,MCQ,Easy,Which lobe is responsible for vision?,Frontal,Temporal,Parietal,Occipital,D,D,D,D
Psych_PSY_E_10,Psychology,MCQ,Easy,What is the sleep stage associated with dreaming?,NREM-1,NREM-2,REM,Delta,C,C,C,C
Psych_PSY_E_11,Psychology,MCQ,Easy,Which sense is related to the olfactory system?,Taste,Smell,Touch,Hearing,B,B,B,B
Psych_PSY_E_12,Psychology,MCQ,Easy,What is motivation?,A reflex,A drive to act,A habit,A memory,B,B,B,B
Psych_PSY_E_13,Psychology,MCQ,Easy,Who proposed the hierarchy of needs?,Freud,Maslow,Erikson,Piaget,B,B,B,B
Psych_PSY_E_14,Psychology,MCQ,Easy,Which neurotransmitter is linked to pleasure?,Dopamine,Serotonin,GABA,Glutamate,A,A,A,A
